group;var;investment
Google_Search_Brand;de_google_campaign_campaign_type_search-brand_impressions;de_google_campaign_campaign_type_search-brand_cost_eur
Google_Search_No_Brand;de_google_campaign_campaign_type_search-generic_impressions;de_google_campaign_campaign_type_search-generic_cost_eur
Google_Search_Hybrid;de_google_campaign_campaign_type_search-hybrid_impressions;de_google_campaign_campaign_type_search-hybrid_cost_eur
Google_Hotel;de_google_campaign_campaign_type_hotel_cost_eur;de_google_campaign_campaign_type_hotel_cost_eur
Google_PMAX;de_google_campaign_campaign_type_pmax_cost_eur;de_google_campaign_campaign_type_pmax_cost_eur
Metabuscadores;de_metabuscador_cost_eur_tripadvisor;de_metabuscador_cost_eur_tripadvisor
Metabuscadores;de_metabuscador_cost_eur_trivago;de_metabuscador_cost_eur_trivago
Meta_branding;de_meta_branding_reach_impressions;de_meta_branding_reach_cost_eur
Meta_branding;de_meta_branding_brand_awareness_impressions;de_meta_branding_brand_awareness_cost_eur
Meta_branding;de_meta_branding_post_engagement_impressions;de_meta_branding_post_engagement_cost_eur
Meta_branding;de_meta_branding_video_views_impressions;de_meta_branding_video_views_cost_eur
Meta_branding;de_meta_branding_outcome_engagement_impressions;de_meta_branding_outcome_engagement_cost_eur
Meta_branding;de_meta_branding_outcome_awareness_impressions;de_meta_branding_outcome_awareness_cost_eur
Meta_performance;de_meta_performance_conversions_impressions;de_meta_performance_conversions_cost_eur
Meta_performance;de_meta_performance_link_clicks_impressions;de_meta_performance_link_clicks_cost_eur
Meta_performance;de_meta_performance_outcome_sales_impressions;de_meta_performance_outcome_sales_cost_eur
Prospecting;de_prospecting_nh_campañas_impressions;de_prospecting_nh_campañas_cost_eur
Prospecting;de_prospecting_nh_resto_ao_impressions;de_prospecting_nh_resto_ao_cost_eur
Prospecting;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_dutch-nl_impressions;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_dutch-nl_cost_eur
Prospecting;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_german-de_impressions;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_german-de_cost_eur
Prospecting;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_italian-it_impressions;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_italian-it_cost_eur
Prospecting;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_spanish-es_impressions;de_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_spanish-es_cost_eur
Retargeting;de_retargeting_nh_retargeting_lower-funnel_impressions;de_retargeting_nh_retargeting_lower-funnel_cost_eur
Display_Segmentado;de_display-directo_CTV_impressions;de_display-directo_CTV_cost_eur
Display_Segmentado;de_display-directo_Display_impressions;de_display-directo_Display_cost_eur
Display_Segmentado;de_display-directo_Emailing_impressions;de_display-directo_Emailing_cost_eur
Display_Segmentado;de_display-directo_Native Ads_impressions;de_display-directo_Native Ads_cost_eur
Destination_ads;de_destination_ads_clicks;de_destination_ads_clicks
OTA_Travel_ads;de_ota-travel-ads_impressions;de_ota-travel-ads_cost_eur
Youtube;de_youtube_impressions;de_youtube_cost_eur
Offline_propio;de_offline_nh_Outdoor_cost_eur;de_offline_nh_Outdoor_cost_eur
Offline_propio;de_offline_nh_Radio_cost_eur;de_offline_nh_Radio_cost_eur
Offline_propio;de_offline_nh_Press_cost_eur;de_offline_nh_Press_cost_eur
Competencia;de_offline_competitors_Cinema_cost_eur;
Competencia;de_offline_competitors_Outdoor_cost_eur;
Competencia;de_offline_competitors_Press_cost_eur;
Competencia;de_offline_competitors_Radio_cost_eur;
Competencia;de_offline_competitors_TV_cost_eur;
Competencia;de_offline_competitors_Internet_cost_eur;
TikTok;de_tiktok_impressions;de_tiktok_media_cost_eur
Festivos;de_holiday_christi_himmelfahrt;
Festivos;de_holiday_erster_mai;
Festivos;de_holiday_erster_weihnachtstag;
Festivos;de_holiday_karfreitag;
Festivos;de_holiday_neujahr;
Festivos;de_holiday_ostermontag;
Festivos;de_holiday_pfingstmontag;
Festivos;de_holiday_tag_der_deutschen_einheit;
Festivos;de_holiday_zweiter_weihnachtstag;
CRM_messages;de_campaigns_sum_sent_messages;
nps_index;de_nps_index;
gri_index;de_gri_index;
mpi_metric;de_mpi_metric;
ari_metric;de_ari_metric;
rgi_metric;de_rgi_metric;
Seatback_cabeceros;de_seatback_ads_cabeceros-ooh_b2c_sessions;de_seatback_ads_investment
Seatback_cabeceros;de_seatback_ads_cabeceros-ooh-nhplus_b2b_sessions;
Seatback_cabeceros;de_seatback_ads_cabeceros-ooh-nhdiscovery_b2c_sessions;
promocionblackfriday;de_promociones_blackfriday;
promociondiscovery_dollars;de_promociones_discovery_dollars;
promociondoublenights;de_promociones_doublenights;
promocionupto10-offseason;de_promociones_upto10-offseason;
promocionupto10-season;de_promociones_upto10-season;
promocionupto15-offseason;de_promociones_upto15-offseason;
promocionupto15-season;de_promociones_upto15-season;
promocionupto20-season;de_promociones_upto20-season;
promocionupto25-season;de_promociones_upto25-season;
promocionupto30-season;de_promociones_upto30-season;
promocionupto35-offseason;de_promociones_upto35-offseason;
promocionupto40-offseason;de_promociones_upto40-offseason;
