group;var;investment
Google_Search_Brand;es_google_campaign_campaign_type_search-brand_impressions;es_google_campaign_campaign_type_search-brand_cost_eur
Google_Search_No_Brand;es_google_campaign_campaign_type_search-generic_impressions;es_google_campaign_campaign_type_search-generic_cost_eur
Google_Search_Hybrid;es_google_campaign_campaign_type_search-hybrid_impressions;es_google_campaign_campaign_type_search-hybrid_cost_eur
Google_Hotel;es_google_campaign_campaign_type_hotel_impressions;es_google_campaign_campaign_type_hotel_cost_eur
Google_PMAX;es_google_campaign_campaign_type_pmax_cost_eur;es_google_campaign_campaign_type_pmax_cost_eur
Metabuscadores;es_metabuscador_cost_eur_tripadvisor;es_metabuscador_cost_eur_tripadvisor
Metabuscadores;es_metabuscador_cost_eur_trivago;es_metabuscador_cost_eur_trivago
Meta_branding;es_meta_branding_brand_awareness_impressions;es_meta_branding_brand_awareness_cost_eur
Meta_branding;es_meta_branding_reach_impressions;es_meta_branding_reach_cost_eur
Meta_branding;es_meta_branding_post_engagement_impressions;es_meta_branding_post_engagement_cost_eur
Meta_branding;es_meta_branding_video_views_impressions;es_meta_branding_video_views_cost_eur
Meta_branding;es_meta_branding_outcome_engagement_impressions;es_meta_branding_outcome_engagement_cost_eur
Meta_branding;es_meta_branding_outcome_awareness_impressions;es_meta_branding_outcome_awareness_cost_eur
Meta_performance;es_meta_performance_conversions_impressions;es_meta_performance_conversions_cost_eur
Meta_performance;es_meta_performance_link_clicks_impressions;es_meta_performance_link_clicks_cost_eur
Meta_performance;es_meta_performance_outcome_sales_impressions;es_meta_performance_outcome_sales_cost_eur
Prospecting;es_prospecting_nh_campañas_impressions;es_prospecting_nh_campañas_cost_eur
Prospecting;es_prospecting_nh_resto_ao_impressions;es_prospecting_nh_resto_ao_cost_eur
Prospecting;es_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_dutch-nl_impressions;es_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_dutch-nl_cost_eur
Prospecting;es_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_german-de_impressions;es_prospecting_display-performance_nh-hq-rtb-prospecting_dbm_german-de_cost_eur
