Date;booking-luxury-b2b_reservations_kpi;booking-luxury-b2b_reservations_id;booking-luxury-b2b_trev_net;booking-luxury-b2b_trev_gross;booking-luxury-b2c_reservations_kpi;booking-luxury-b2c_reservations_id;booking-luxury-b2c_trev_net;booking-luxury-b2c_trev_gross;booking-rest-b2b_reservations_kpi;booking-rest-b2b_reservations_id;booking-rest-b2b_trev_net;booking-rest-b2b_trev_gross;booking-rest-b2c_reservations_kpi;booking-rest-b2c_reservations_id;booking-rest-b2c_trev_net;booking-rest-b2c_trev_gross;dir_web-luxury-b2b_reservations_kpi;dir_web-luxury-b2b_reservations_id;dir_web-luxury-b2b_trev_net;dir_web-luxury-b2b_trev_gross;dir_web-luxury-b2c_reservations_kpi;dir_web-luxury-b2c_reservations_id;dir_web-luxury-b2c_trev_net;dir_web-luxury-b2c_trev_gross;dir_web-rest-b2b_reservations_kpi;dir_web-rest-b2b_reservations_id;dir_web-rest-b2b_trev_net;dir_web-rest-b2b_trev_gross;dir_web-rest-b2c_reservations_kpi;dir_web-rest-b2c_reservations_id;dir_web-rest-b2c_trev_net;dir_web-rest-b2c_trev_gross;resto_otas-luxury-b2b_reservations_kpi;resto_otas-luxury-b2b_reservations_id;resto_otas-luxury-b2b_trev_net;resto_otas-luxury-b2b_trev_gross;resto_otas-luxury-b2c_reservations_kpi;resto_otas-luxury-b2c_reservations_id;resto_otas-luxury-b2c_trev_net;resto_otas-luxury-b2c_trev_gross;resto_otas-rest-b2b_reservations_kpi;resto_otas-rest-b2b_reservations_id;resto_otas-rest-b2b_trev_net;resto_otas-rest-b2b_trev_gross;resto_otas-rest-b2c_reservations_kpi;resto_otas-rest-b2c_reservations_id;resto_otas-rest-b2c_trev_net;resto_otas-rest-b2c_trev_gross
2021-11-01;;;;;44.0;44;11799.385531125;13737.76540864;11.11111111111111;12.0;1245.614489;1395.702474;6395.809523809524;6408;608770.898330804;727829.519300961;3.1999999999999997;4.0;1312.149094;1312.149094;49.33333333333333;50;10871.327818;10950.759817;730.7948717948718;743;87788.988385254;92128.51851228;5491.585714285714;5504;824136.086338262;825331.434593925;;;;;7.0;7;5104.610855;6061.662484;90.0;92;11318.359859577;13223.667118838;1459.6;1460;144798.422595207;165794.863030368
2021-11-08;;;;;42.0;42;8851.43021673;10433.19084605;9.25;10.0;1404.049149;1486.362806;6368.504761904762;6377;590619.080395988;706356.375566072;1.0;1.0;178.301888;198.113207;41.0;41;8109.171212;8109.171212;741.5166666666667;753;108143.553752746;112481.184220925;6104.228968253969;6116;915994.695055658;917830.473068012;;;;;13.0;13;1630.255393654;1972.724568853;129.03225806451613;131;14373.748248;16735.875797;1483.0;1486;159885.736108104;184470.999860379
2021-11-15;;;;;40.0;40;5946.242801;6882.221819;16.0;16.0;3462.507344331;3541.555794331;5779.699783549783;5786;569938.26594428;681662.962496215;2.0;2.0;812.264146;812.264146;35.0;35;7922.3557;7922.3557;814.8;825;109208.561117511;114416.217776967;5718.4;5726;842869.229923549;844345.794576549;0.5714285714285712;1.0;310.355046;340.76146800000004;12.0;12;3880.048005008;4575.315217891;147.0;147;16959.095320337;20120.618662138;1372.5;1373;132154.627585314;152393.36775174
2021-11-22;;;;;30.0;30;6434.689872;7477.857506;4.0;4.0;553.219541466;564.2233134659999;5794.88658008658;5800;599926.245517698;718737.554610827;0.5;1.0;0.0;0.0;30.0;30;6234.8677;6234.8677;719.5619047619048;731;87675.773421757;91780.744472757;5552.890476190476;5565;795227.187986012;796497.500940422;;;;;4.0;4;840.13278;976.038621;130.0;131;11159.768822;12612.744367;1367.85;1369;147260.993892633;169626.884207346
2021-11-29;;;;;39.0;39;7331.185512999999;8626.468865;6.0;6.0;1116.7172799999998;1192.550892;5729.4;5736;617648.230498457;738535.194246695;1.0;1.0;346.544084;346.544084;45.0;45;8142.836322999999;8142.836322999999;516.3333333333334;523;63885.484392504;67451.360617389;4652.833333333333;4660;684971.458630974;685692.7355491;;;;;2.0;2;155.361605;174.971697;78.39189189189189;79;6980.295746556;7876.091487235;1091.904761904762;1093;112352.627956033;129751.397381425
2021-12-06;;;;;23.0;23;7758.872921883;9070.960263016;33.0;33.0;2503.61257;2757.294842;4378.947619047619;4386;329033.794915938;391998.821016141;;;;;17.0;17;4093.802186;4093.802186;392.7214285714285;404;46442.80407485;48225.41609385;3728.611111111111;3733;417302.541692622;417912.792302654;;;;;4.0;4;794.3414979999999;904.305259;71.0;71;6317.592405052;7436.822365052;1041.9;1044;71183.582070667;81961.501931844
2021-12-13;;;;;28.0;28;3989.163402;4573.87673;7.0;7.0;825.52574;878.8545349999999;4512.866666666667;4517;304237.909407789;362423.649218124;1.0;1.0;0.0;0.0;16.0;16;3419.777206;3419.777206;431.5111111111111;440;50324.87722659;52704.67591359;3875.43597359736;3882;415382.013165047;416112.469709047;;;;;5.999999999999998;6;425.038994;500.045872;61.0;61;4806.331554026;5557.023686026;974.0;974;67119.307440544;77138.109967943
2021-12-20;;;;;16.857142857142858;17;837.7713589999998;948.211853;6.799999999999999;7.0;9955.372261;10036.666069;3337.983333333333;3340;240210.470886321;286622.68466384;;;;;15.0;15;11399.966651;11399.966651;167.16666666666666;169;18562.251313732;19345.735274732;2422.0333333333333;2428;259812.107732322;260281.756045322;;;;;3.0;3;761.249669625;784.804073625;27.375;28;1836.662592632;2144.995974121;736.0;736;49723.850124186;56600.667252683
2021-12-27;;;;;26.0;26;6011.066883;7026.010687999999;5.25;6.0;849.1999999999999;855.663636;3446.0651515151512;3449;297896.037746886;354317.64303494;;;;;9.0;9;9524.698891;9524.698891;147.575;152;20380.225682387;21304.946496775;2763.0;2766;337592.743919638;338205.793069877;;;;;2.0;2;140.195413;164.935779;18.25;19;1509.565139;1741.043813;649.0;649;44112.259551684;50600.972599035
2022-01-03;;;;;29.5;30;4467.52035;5207.572529;8.333333333333334;9.0;291.74447;335.807268;4355.916666666667;4363;335926.396332689;400279.564578228;;;;;18.0;18;9018.491537883;9018.491537883;270.0;280;44199.854187352;46205.593421493;3406.25;3408;407675.937653646;407757.906154646;;;;;6.0;6;419.779381;465.306926;31.0;31;2050.090460277;2376.158288854;769.0;769;55356.808096859;62729.296011469
2022-01-10;;;;;24.0;24;5191.720858;6120.531119;6.2727272727272725;7.0;641.852798;674.7299949999999;5043.089682539682;5051;396630.98241607;471990.167615116;;;;;26.0;26;11739.095677354;11739.095677354;557.5;565;68732.224046375;71904.094496921;4432.9664502164505;4441;565684.781357424;566876.587622749;;;;;4.0;4;66.201968;77.67725;111.0;111;9926.542941447;11582.745832447;1030.0;1030;83311.203723897;95689.62089351
2022-01-17;;;;;39.0;39;17405.613236363002;20524.285356826;15.0;15.0;1498.304517;1545.043512;6273.166666666667;6278;470655.85895751;560992.446997849;4.2;5.0;1191.475291;1226.380949;38.0;38;7291.002228;7291.002228;749.6015873015873;761;101080.317492187;105719.482338984;5071.426767676768;5078;643875.795765499;644643.971813499;;;;;9.0;9;1955.621169;2051.960311;108.55555555555556;109;8783.59039087;10306.392912734;1258.0;1258;98758.616398597;113545.532418092
2022-01-24;;;;;43.4;45;10941.673487;12872.095444;10.275949367088607;12.0;1254.1499869999998;1254.1499869999998;5910.661255411255;5922;479635.116087883;571862.630218054;4.833333333333333;6.0;1582.57458;1582.57458;46.0;46;10147.203556;10147.203556;742.9277777777778;758;113092.753604075;117286.182606075;5510.622222222222;5520;720897.942582662;721980.351269473;;;;;0.9999999999999996;1;0.0;0.0;79.0;79;7411.009371932;8701.169944744;1155.5;1156;92729.039819979;105602.410025323
2022-01-31;;;;;37.0;37;14228.401333;16859.583217;4.7;5.0;493.419281848;537.4980942239999;6414.655128205128;6419;600219.504449333;716497.473949019;;;;;35.0;35;22287.535427994;22287.535427994;940.6095238095238;951;137925.712301826;145191.001338337;5862.753174603175;5883;838617.647099957;840521.865509957;1.0;1.0;344.062241;411.754715;6.999999999999998;7;4890.456177;5644.049793;139.0;139;14466.956179221;16822.64683141;1414.75;1416;137383.629097263;157796.311184961
2022-02-07;;;;;84.0;84;20558.225538;24198.184786;7.328571428571428;8.0;1547.063324321;1624.267532321;7195.582539682539;7205;698573.409108629;835075.493753678;2.0;2.0;1105.171867;1105.171867;31.0;31;14190.375687;14258.866255;969.3611111111112;980;149434.020538186;156331.536353759;6326.914705882353;6338;958713.921781352;960743.090204352;1.0;1.0;175.770408;206.810706;14.0;14;7109.02343;8196.818611;175.0;175;16871.176165222;19841.742085961;1438.5;1439;130969.546432545;150327.241030187
2022-02-14;;;;;95.0;95;23362.651754668;27430.761206439;12.142857142857142;13.0;1884.529344504;2008.091039784;6802.702777777778;6815;712602.346549934;851471.199226688;1.5714285714285712;2.0;349.056604;349.056604;48.85714285714285;50;25192.331964;25192.331964;796.9333333333333;810;121791.47918807;127262.307108401;6261.335606060606;6268;978011.5102863312;979962.551662655;;;;;12.0;12;3358.484037;3857.142823;147.0;147;13293.324483954;15544.945181954;1336.7615384615383;1338;146333.088239696;166991.153300957
2022-02-21;;;;;90.0;90;28058.106;32617.335804;9.272727272727272;10.0;2159.5942429660004;2435.473042966;6294.028571428571;6301;681598.293114019;815408.786229516;5.0;5.0;1341.11443;1358.567259;48.0;48;25326.425317;25368.097009;831.7957565310506;852;134478.566670888;141088.669573362;5483.26746031746;5495;866232.832583016;868920.976965016;;;;;13.0;13;3526.457864;4031.041825;143.0;145;16069.541092068;18686.321507712;1188.1666666666667;1189;130486.347452367;150148.719020837
2022-02-28;;;;;49.0;49;16993.464354;20050.217935;10.999999999999998;11.0;3514.135086;3867.250717;6359.472222222222;6371;652835.788443207;781382.756522922;1.0;1.0;259.841861;277.29469;53.0;53;18878.97905;18878.97905;973.1515873015873;984;165013.046144241;174321.572209336;5560.142063492063;5567;889341.50708803;890922.4282268881;1.3333333333333333;2.0;192.44684;211.481132;17.0;17;5621.218954;6353.137249;159.0;159;17867.371785084;20940.882638148;1201.75;1202;123907.68007257;143646.290142028
2022-03-07;;;;;66.0;66;17580.227257;20696.046482;3.0;3.0;460.582639;503.173548;5386.4;5392;571530.019259706;684457.522283005;2.0;2.0;561.798153;561.798153;57.6;60;29650.777952;29815.571525;937.6423900660744;954;141841.775740623;148714.056421961;5381.597832722832;5391;879691.011539302;881297.833040412;;;;;10.0;10;1736.458746;2052.940767;172.5;173;18314.021513234;21508.852549737;1160.0;1161;129569.848220075;149167.274226554
2022-03-14;;;;;44.66666666666666;45;10538.889862402;12322.862618939;11.874999999999998;12.0;1645.131171;1812.294535;5562.221428571428;5568;599191.559772101;717097.606204628;2.0;2.0;681.901127;681.901127;40.0;40;26713.044512412;27292.940863412;923.45;942;134329.211634278;140407.443618576;5092.866666666667;5099;854829.388925046;856889.833900008;;;;;6.0;6;1180.251320721;1370.653704262;212.0;212;21061.602695467;24712.18645353;1305.0;1305;170610.415039821;195152.767540064
2022-03-21;;;;;66.5;67;16198.978043;19008.133324;11.249999999999998;12.0;3013.390681994;3206.831915002;5417.729365079365;5426;628776.550520274;753960.744514208;11.5;13.0;5336.714972;5776.836968;56.0;56;27854.140636;27854.140636;830.8047619047619;851;127881.519488524;134154.191302939;5206.202380952381;5216;888445.944097829;890599.364482651;;;;;12.0;12;2197.376992;2582.669027;139.7;142;15841.267423021;18374.015959021;1351.9166666666663;1353;152203.083646404;174306.957382002
2022-03-28;2.0;2.0;2807.922146;3315.672146;97.0;97;24858.866674868;29251.18070165;12.071428571428571;13.0;1244.7985978;1371.6063958;6415.042982456141;6423;779914.948167859;933524.851645951;3.0;3.0;1734.008636;1753.819955;32.0;32;14436.818427;14555.176917;941.697619047619;956;161421.752819014;166895.338618591;5431.915151515152;5444;956665.668189765;958686.543263556;;;;;10.0;10;4178.765089;4633.964252;122.25;123;12616.474459432;14721.3861717;1413.0860215053765;1414;186606.572408302;215854.846818121
2022-04-04;1.0;1.0;2108.5854;2488.8354;102.0;102;34107.425994505;40025.994078754;10.2;11.0;1433.808758;1516.308749;6206.130483405484;6222;785254.13034482;939675.007140322;2.5454545454545454;3.0;2026.749773;2026.749773;38.0;38;31336.424393;31336.424393;727.7409645909646;752;142437.738510675;146785.384654233;5053.15;5064;969407.341823817;970919.425203224;1.0;1.0;373.953791;442.548861;20.0;20;14285.267544007;16313.553532285;75.0;75;8401.802199;9885.557141;1459.0;1459;197383.587358057;228150.700529605
2022-04-11;1.0;1.0;1037.566976;1240.366976;109.0;109;44274.791037;52085.171387;2.0;2.0;1381.845365;1507.807974;5629.261904761905;5634;614950.948255154;736518.010982488;0.4999999999999998;1.0;-9.999999974752427e-07;-9.999999974752427e-07;56.0;56;28728.142369695;28868.519726695;568.8897597500538;581;118894.279620584;123939.594931584;3835.259523809524;3843;733129.468663771;734222.047319771;;;;;7.0;7;3185.71327;3789.854105;44.114285714285714;45;7584.330563652;8675.714280108;1183.1666666666667;1184;143237.160281692;166663.993393957
2022-04-18;;;;;60.0;60;22370.720243;26436.389033;1.25;2.0;135.053494216;148.509493216;5251.216666666666;5256;583206.550276479;698586.840689745;2.0;2.0;745.321432;776.28198;54.99999999999999;55;29744.192564149;30204.847114149;885.2050061050061;902;154905.546611123;163441.811604743;4941.226190476191;4953;882842.796338806;885365.877744806;1.0;1.0;392.976364;469.301463;7.999999999999999;8;1323.45881;1527.113244;109.4;110;13353.715650148;15698.905409148;1421.5454545454545;1422;172663.038707127;200545.225113328
2022-04-25;;;;;81.0;81;45913.848162;53832.198333;13.0;13.0;3420.008672;3635.208665;5547.233333333334;5558;625985.240411763;749301.744066893;1.0;1.0;1855.963298;1855.963298;51.66666666666666;52;28612.11361;28612.11361;987.3063492063492;1005;168662.423688866;176025.696115418;4933.430411255411;4959;939743.878940012;942168.782423421;1.0;1.0;491.641324;582.905323;13.0;13;6165.993916;7171.032198;112.0;112;14795.357774627;17342.179365137;1350.5777777777778;1352;193177.015557025;222257.922380546
2022-05-02;;;;;52.0;52;24716.349995;29144.30337;5.0;5.0;947.13479;993.939081;5481.583333333333;5488;637739.443134735;763284.238256535;8.625;11.0;6868.354546;7042.647994999999;50.0;50;45923.672157;46871.765556;912.9321067821068;929;185146.227336656;191108.892125645;4875.245238095238;4884;913020.335972122;915132.34942657;1.0;1.0;1099.539046;1274.073426;11.0;11;8582.066314737;10191.760181447;121.33333333333331;122;15527.227134;18295.428853;1270.0;1270;184128.754282026;213169.646358507
2022-05-09;;;;;49.0;49;18850.03530156;22106.305825837;12.5;13.0;1861.712174;2058.998729;5293.309090909091;5299;599799.133206558;718670.032902362;4.7142857142857135;5.0;2490.307355;2490.307355;39.8;40;32851.44954;32851.44954;988.4619047619047;1013;174755.915671261;183201.074755871;4743.023809523809;4752;886952.665130379;889116.135471435;;;;;6.0;6;4181.160962389;4873.096516495;105.0;106;12762.602534703;14961.140485375;1216.4333333333334;1219;175132.66567353;202231.718467303
2022-05-16;;;;;80.0;80;37955.286144804;45630.532471412;4.0;4.0;1405.754981;1528.518176;5360.038095238095;5378;662489.538093517;793296.00622371;3.0;3.0;1069.923188;1089.734507;52.0;52;38571.931183057;38571.931183057;849.8166666666666;871;159444.845936761;168215.706075639;4488.723809523809;4500;885571.654799812;887128.948400635;3.0;3.0;766.683988;912.027483;8.0;8;5263.296598999999;5385.962922000001;116.0;116;15854.907120349;18758.510242349;1251.6;1258;181209.015622153;209134.56955819
2022-05-23;;;;;103.0;103;51768.886572941;61136.869085585;18.19761904761905;19.0;11437.993949;11604.187484;5132.583333333333;5144;613305.753059827;733816.884224232;2.0;2.0;638.698112;638.698112;44.0;44;32676.351592000003;32676.351592000003;910.6479362591432;925;152891.774542533;160020.438329957;4210.093223443223;4220;770804.591400088;772717.742910106;;;;;21.0;21;21369.394322;25317.254221;110.0;110;15530.262654914;18336.520654266;1126.6666666666667;1128;154435.496690341;178625.201773233
